wall_ns,acquisitions,immediate,waited,wait_ns,hold_ns,wait_max_ns,hold_max_ns,waiters_now,waiters_max
1788210876012506196,9504,9504,0,0,67084342762,0,170221111,0,0
1788210876496682399,9536,9536,0,0,67282771232,0,170221111,0,0
1788210877275622001,9568,9568,0,0,67476633718,0,170221111,0,0
1788210877689775021,9600,9600,0,0,67646826093,0,170221111,0,0
1788210878114220593,9632,9632,0,0,67802882136,0,170221111,0,0
1788210878521990774,9664,9664,0,0,67968776938,0,170221111,0,0
1788210878924094480,9696,9696,0,0,68129091662,0,170221111,0,0
1788210880964091884,9728,9728,0,0,68331164326,0,170221111,0,0
1788210881482276005,9760,9760,0,0,68555212825,0,170221111,0,0
1788210881986087539,9792,9792,0,0,68784481218,0,170221111,0,0
1788210882496680894,9824,9824,0,0,68998356201,0,170221111,0,0
1788210883225623221,9856,9856,0,0,69223941519,0,170221111,0,0
1788210883696595196,9888,9888,0,0,69435098013,0,170221111,0,0
1788210884160035630,9920,9920,0,0,69635487257,0,170221111,0,0
1788210884649864862,9952,9952,0,0,69835947863,0,170221111,0,0
1788210885120446551,9984,9984,0,0,70041722520,0,170221111,0,0
1788210885724149453,10016,10016,0,0,70275594375,0,170221111,0,0
1788210886237865819,10048,10048,0,0,70489409357,0,170221111,0,0
1788210886743608548,10080,10080,0,0,70728605456,0,170221111,0,0
1788210887252076387,10112,10112,0,0,70959052177,0,170221111,0,0
1788210887813222376,10144,10144,0,0,71173103174,0,170221111,0,0
1788210888343109573,10176,10176,0,0,71403590175,0,170221111,0,0
1788210888835560993,10208,10208,0,0,71629215651,0,170221111,0,0
1788210889353331374,10240,10240,0,0,71848183564,0,170221111,0,0
1788210889837435475,10272,10272,0,0,72074077385,0,170221111,0,0
1788210891876730552,10304,10304,0,0,72302846877,0,170221111,0,0
1788210892365178766,10336,10336,0,0,72522288731,0,170221111,0,0
1788210892879856055,10368,10368,0,0,72742427980,0,170221111,0,0
1788210893375311222,10400,10400,0,0,72970991418,0,170221111,0,0
1788210893882064361,10432,10432,0,0,73185217571,0,170221111,0,0
1788210894485427878,10464,10464,0,0,73415436376,0,170221111,0,0
1788210894971137516,10496,10496,0,0,73640882587,0,170221111,0,0
1788210895455684194,10528,10528,0,0,73859966422,0,170221111,0,0
1788210895981788708,10560,10560,0,0,74080221251,0,170221111,0,0
1788210896578224969,10592,10592,0,0,74318971435,0,170221111,0,0
1788210897082956135,10624,10624,0,0,74547284231,0,170221111,0,0
1788210897608811511,10656,10656,0,0,74765931338,0,170221111,0,0
1788210898109393675,10688,10688,0,0,74998627430,0,170221111,0,0
1788210898595237536,10720,10720,0,0,75218211671,0,170221111,0,0
1788210899194871934,10752,10752,0,0,75454888834,0,170221111,0,0
1788210899715062318,10784,10784,0,0,75679511567,0,170221111,0,0
1788210900202583205,10816,10816,0,0,75905327160,0,170221111,0,0
1788210900714420618,10848,10848,0,0,76120237871,0,170221111,0,0
1788210902732870934,10880,10880,0,0,76335484223,0,170221111,0,0
1788210903218252288,10912,10912,0,0,76559977535,0,170221111,0,0
1788210903713311529,10944,10944,0,0,76780559813,0,170221111,0,0
1788210904232402828,10976,10976,0,0,77002882653,0,170221111,0,0
1788210904724536796,11008,11008,0,0,77228886977,0,170221111,0,0
1788210905325122579,11040,11040,0,0,77462829689,0,170221111,0,0
1788210905835917289,11072,11072,0,0,77677375066,0,170221111,0,0
1788210906324470159,11104,11104,0,0,77903744599,0,170221111,0,0
1788210906843488315,11136,11136,0,0,78146199644,0,170221111,0,0
1788210907364612288,11168,11168,0,0,78365846565,0,170221111,0,0
1788210907937405793,11200,11200,0,0,78589676095,0,170221111,0,0
1788210908432697911,11232,11232,0,0,78815068496,0,170221111,0,0
1788210908940728773,11264,11264,0,0,79029320520,0,170221111,0,0
1788210909441836899,11296,11296,0,0,79261443603,0,170221111,0,0
1788210910016559866,11328,11328,0,0,79476312513,0,170221111,0,0
1788210910499747191,11360,11360,0,0,79696112531,0,170221111,0,0
1788210911020055214,11392,11392,0,0,79916925707,0,170221111,0,0
1788210911526967004,11424,11424,0,0,80153545825,0,170221111,0,0
1788210912034713700,11456,11456,0,0,80368439932,0,170221111,0,0
1788210914127723187,11488,11488,0,0,80581569143,0,170221111,0,0
1788210914616838088,11520,11520,0,0,80813142334,0,170221111,0,0
1788210915101380479,11552,11552,0,0,81032965144,0,170221111,0,0
1788210915612379258,11584,11584,0,0,81253239578,0,170221111,0,0
1788210916185161030,11616,11616,0,0,81468801039,0,170221111,0,0
